Year,Ag,Com/Inst,B&C,E&E,Health,HL&S,Mach,Pack,Tex,Trans,Other,TEST
2050,0.06,1.16,2.50,0.51,1.25,0.49,0.27,5.21,0.14,1.37,0.11,0.00
2049,0.06,1.15,2.48,0.51,1.24,0.49,0.27,5.19,0.14,1.37,0.11,0.00
2048,0.06,1.14,2.47,0.51,1.23,0.49,0.27,5.16,0.14,1.36,0.11,0.00
2047,0.06,1.14,2.45,0.51,1.22,0.48,0.27,5.12,0.13,1.35,0.11,0.00
2046,0.06,1.13,2.44,0.50,1.22,0.48,0.27,5.09,0.13,1.34,0.11,0.00
2045,0.06,1.12,2.42,0.50,1.21,0.48,0.26,5.06,0.13,1.33,0.11,0.00
2044,0.06,1.11,2.40,0.50,1.20,0.48,0.26,5.02,0.13,1.32,0.11,0.00
2043,0.06,1.10,2.39,0.49,1.19,0.47,0.26,4.98,0.13,1.31,0.11,0.00
2042,0.06,1.10,2.37,0.49,1.18,0.47,0.26,4.94,0.13,1.30,0.11,0.00
2041,0.06,1.09,2.35,0.48,1.17,0.46,0.26,4.90,0.13,1.29,0.10,0.00
2040,0.06,1.08,2.33,0.48,1.16,0.46,0.25,4.86,0.13,1.28,0.10,0.00
2039,0.06,1.07,2.31,0.48,1.15,0.46,0.25,4.82,0.13,1.27,0.10,0.00
2038,0.06,1.06,2.29,0.47,1.14,0.45,0.25,4.77,0.13,1.26,0.10,0.00
2037,0.06,1.05,2.26,0.47,1.13,0.45,0.25,4.73,0.12,1.25,0.10,0.00
2036,0.06,1.04,2.24,0.46,1.12,0.44,0.24,4.68,0.12,1.23,0.10,0.00
2035,0.06,1.03,2.22,0.46,1.11,0.44,0.24,4.63,0.12,1.22,0.10,0.00
2034,0.05,1.02,2.19,0.45,1.09,0.43,0.24,4.58,0.12,1.21,0.10,0.00
2033,0.05,1.00,2.17,0.45,1.08,0.43,0.24,4.53,0.12,1.19,0.10,0.00
2032,0.05,0.99,2.14,0.44,1.07,0.42,0.23,4.47,0.12,1.18,0.10,0.00
2031,0.05,0.98,2.12,0.44,1.06,0.42,0.23,4.42,0.12,1.16,0.09,0.00
2030,0.05,0.97,2.09,0.43,1.04,0.41,0.23,4.36,0.11,1.15,0.09,0.00
2029,0.05,0.95,2.06,0.42,1.03,0.41,0.22,4.30,0.11,1.13,0.09,0.00
2028,0.05,0.94,2.03,0.42,1.01,0.40,0.22,4.24,0.11,1.12,0.09,0.00
2027,0.05,0.93,2.00,0.41,1.00,0.40,0.22,4.18,0.11,1.10,0.09,0.00
2026,0.05,0.91,1.97,0.41,0.98,0.39,0.22,4.12,0.11,1.09,0.09,0.00
2025,0.05,0.90,1.94,0.40,0.97,0.38,0.21,4.06,0.11,1.07,0.09,0.00
2024,0.05,0.88,1.91,0.39,0.95,0.38,0.21,3.99,0.10,1.05,0.09,0.00
2023,0.05,0.87,1.88,0.39,0.94,0.37,0.21,3.92,0.10,1.03,0.08,0.00
2022,0.05,0.86,1.85,0.38,0.93,0.37,0.20,3.87,0.10,1.02,0.08,0.00
2021,0.05,0.86,1.86,0.38,0.93,0.37,0.20,3.88,0.10,1.02,0.08,0.00
2020,0.04,0.78,1.68,0.35,0.84,0.33,0.18,3.50,0.09,0.92,0.07,0.00
2019,0.04,0.73,1.59,0.33,0.79,0.31,0.17,3.31,0.09,0.87,0.07,0.00
2018,0.04,0.74,1.60,0.33,0.80,0.32,0.17,3.34,0.09,0.88,0.07,0.00
2017,0.04,0.69,1.48,0.31,0.74,0.29,0.16,3.09,0.08,0.82,0.07,0.00
2016,0.04,0.69,1.49,0.31,0.75,0.30,0.16,3.12,0.08,0.82,0.07,0.00
2015,0.04,0.69,1.50,0.31,0.75,0.30,0.16,3.12,0.08,0.82,0.07,0.00
2014,0.03,0.64,1.38,0.28,0.69,0.27,0.15,2.88,0.08,0.76,0.06,0.00
2013,0.03,0.62,1.35,0.28,0.67,0.27,0.15,2.81,0.07,0.74,0.06,0.00
2012,0.03,0.63,1.37,0.28,0.68,0.27,0.15,2.86,0.08,0.75,0.06,0.00
2011,0.03,0.55,1.19,0.25,0.59,0.24,0.13,2.49,0.07,0.66,0.05,0.00
2010,0.03,0.59,1.27,0.26,0.63,0.25,0.14,2.65,0.07,0.70,0.06,0.00
2009,0.03,0.57,1.22,0.25,0.61,0.24,0.13,2.55,0.07,0.67,0.05,0.00
2008,0.03,0.60,1.30,0.27,0.65,0.26,0.14,2.72,0.07,0.72,0.06,0.00
2007,0.03,0.62,1.33,0.28,0.67,0.26,0.15,2.79,0.07,0.73,0.06,0.00
2006,0.03,0.60,1.30,0.27,0.65,0.26,0.14,2.72,0.07,0.72,0.06,0.00
2005,0.03,0.61,1.31,0.27,0.65,0.26,0.14,2.74,0.07,0.72,0.06,0.00
2004,0.03,0.57,1.23,0.25,0.62,0.24,0.13,2.58,0.07,0.68,0.06,0.00
2003,0.03,0.54,1.16,0.24,0.58,0.23,0.13,2.42,0.06,0.64,0.05,0.00
2002,0.03,0.54,1.17,0.24,0.58,0.23,0.13,2.43,0.06,0.64,0.05,0.00
